device,model_name,resolution,runtime,fps,average_inference_time,average_preprocess_time,average_postprocess_time,mAP@0.5:0.95,mAP@0.5

CPU,FasterRCNN-10-quant,640,onnx,1.56,0.643,0.004,0.001,0.303,0.481

CPU,FasterRCNN-10-opt,640,onnx,1.55,0.644,0.004,0.001,0.302,0.488

CPU,FasterRCNN-10,640,onnx,1.58,0.631,0.004,0.001,0.302,0.488

CPU,FasterRCNN-10-opt,480,onnx,2.2,0.454,0.002,0.001,0.261,0.419

CPU,yolov5n-quant,640,onnx,23.26,0.043,0.003,0.001,0.288,0.461
CPU,yolov5n,640,onnx,38.46,0.026,0.003,0.001,0.292,0.452

CPU,yolov5s-quant,640,onnx,12.2,0.082,0.003,0.001,0.391,0.565

CPU,yolov5s,640,onnx,14.49,0.069,0.003,0.001,0.395,0.565
CPU,ssd_mobilenet_v1_10,640,onnx,45.45,0.022,0.0,0.0,0.183,0.265

CPU,yolov5l_480px_quant,480,onnx,5.1,0.196,0.002,0.001,0.479,0.642

CPU,yolov5l_640px,640,onnx,3.31,0.302,0.003,0.001,0.504,0.677

CPU,yolov5l_640px_quant,640,onnx,3.12,0.321,0.003,0.001,0.479,0.652

CPU,yolov5n_kd_trained,640,onnx,37.04,0.027,0.003,0.001,0.063,0.111

CPU,yolov5n_converted,640,onnx,37.04,0.027,0.003,0.001,0.219,0.349

CPU,yolov5_TEST,640,onnx,35.71,0.028,0.003,0.002,0.205,0.397

CPU,yolov5n,640,onnx,37.04,0.027,0.003,0.001,0.292,0.452

CPU,yolov5n,640,onnx,37.04,0.027,0.003,0.001,0.292,0.452

CPU,yolov5n,640,onnx,33.33,0.03,0.004,0.001,0.292,0.452

CPU,yolov5_TEST,640,onnx,37.04,0.027,0.003,0.002,0.205,0.397

CPU,yolov5l_640px,640,onnx,3.08,0.325,0.003,0.001,0.504,0.677

CPU,yolov5n_tf_kd,640,onnx,37.04,0.027,0.003,0.002,0.295,0.459

CPU,yolov5n,640,onnx,38.46,0.026,0.003,0.001,0.292,0.452

CPU,yolov5n,640,onnx,38.46,0.026,0.003,0.001,0.292,0.452

CPU,yolov5n_tf_kd,640,onnx,35.71,0.028,0.003,0.002,0.295,0.459

GPU,yolov5n,640,onnx,33.33,0.03,0.002,0.001,0.263,0.423                 #val2017
GPU,yolov5n_tf_kd,640,onnx,33.33,0.03,0.002,0.001,0.254,0.419           #val2017
GPU,yolov5n,640,onnx,23.81,0.042,0.002,0.013,0.278,0.454                #val2017
GPU,yolov5n_tf_kd,640,onnx,16.39,0.061,0.002,0.032,0.258,0.427
GPU,yolov5n,640,onnx,55.56,0.018,0.002,0.001,0.292,0.452,

GPU,yolov5n,640,onnx,58.82,0.017,0.002,0.001,0.292,0.452,./data/nanoval2017/images

GPU,yolov5s,640,onnx,47.62,0.021,0.002,0.001,0.341,0.51,../../datasets/coco/images/val2017

GPU,yolov5s,640,onnx,27.78,0.036,0.002,0.01,0.356,0.539,../../datasets/coco/images/val2017

