device,model_name,resolution,runtime,fps,average_inference_time,average_preprocess_time,average_postprocess_time,mAP@0.5:0.95,mAP@0.5

CPU,yolov5n,640,onnx,1.45,0.691,0.009,0.007,0.292,0.452

CPU,yolov5n,640,tflite,0.79,1.259,0.009,0.007,0.292,0.452
CPU,yolov5n-quant,640,tflite,1.21,0.826,0.009,0.008,0.257,0.419

CPU,yolov5s,640,onnx,0.49,2.037,0.009,0.008,0.395,0.565 ok
CPU,yolov5s_quant,640,onnx,0.59,1.702,0.009,0.008,0.391,0.565
CPU,yolov5s,640,tflite,0.47,2.142,0.009,0.008,0.358,0.54




CPU,ssd_mobilenet_v1_10,640,onnx,2.4,0.416,0.001,0.001,0.183,0.265
CPU,ssd_mobilenet_v1_10,320,onnx,2.42,0.414,0.003,0.001,0.175,0.26



CPU,FasterRCNN-10,640,onnx,0.05,19.337,0.009,0.005,0.302,0.488
